User-ID,ISBN,Book-Rating,Book-Rating_5
276725,034545104X,0,0
276733,2080674722,0,0
276746,055356451X,0,0
276747,1885408226,7,3.5
276762,034544003X,0,0
276788,043935806X,7,3.5
276788,055310666X,10,5
276798,3548603203,6,3
276798,3791535889,0,0
276800,1562827898,7,3.5
276822,038076041X,10,5
276822,1551925060,8,4
276822,1573248533,10,5
276828,2070403734,0,0
276828,2253044903,0,0
276847,3423071516,10,5
276847,3499233436,0,0
276847,3548602967,0,0
276847,3608932240,7,3.5
276847,360893541X,10,5
276847,3608935428,10,5
276847,3608935436,10,5
276856,2012003494,0,0
276856,2013220162,0,0
276859,014014899X,0,0
276859,077104450X,8,4
276859,1567616089,8,4
276859,2890510328,0,0
276861,360893541X,9,4.5
276861,3608935428,9,4.5
276861,3608935436,9,4.5
276866,3453132262,0,0
276866,3596237874,0,0
276872,042518109X,8,4
276872,8571648972,10,5
276875,8806155873,0,0
276911,8420636282,9,4.5
276925,002542730X,10,5
276925,063403541X,6,3
276925,1400002672,8,4
276925,2290309494,0,0
276925,2742739351,0,0
276925,3775713328,0,0
276925,8423976645,8,4
276925,8440696833,0,0
276925,8472453723,0,0
276925,8495501090,0,0
276925,8495501198,0,0
276927,1899344705,5,2.5
276929,2070386023,5,2.5
276929,2070404587,10,5
276929,2070404722,0,0
276929,2070406962,0,0
276929,2070408450,0,0
276929,2070425770,0,0
276929,2070725804,0,0
276929,2226126570,0,0
276929,2226135022,0,0
276929,2253050407,0,0
276929,2253055972,0,0
276929,2264018194,3,1.5
276929,2264024674,5,2.5
276929,2266047280,7,3.5
276929,2266102621,10,5
276929,2842611462,3,1.5
276929,2868696627,0,0
276929,2869304129,7,3.5
276929,2869304560,5,2.5
276929,2869304870,0,0
276929,2869305583,6,3
276929,2907572121,0,0
276939,2070414256,7,3.5
276939,2070419657,7,3.5
276939,2253137243,9,4.5
276939,2264027134,0,0
276939,2702401694,9,4.5
276939,2878580753,10,5
276939,8408040383,0,0
276964,1572971835,0,0
276994,3423128879,4,2
276994,3499101505,0,0
276994,3545202461,9,4.5
276998,3822858617,7,3.5
277042,067104754X,0,0
277042,074343627X,8,4
277051,3257228007,0,0
277072,1573229571,9,4.5
277085,1841193887,8,4
277087,843223138X,8,4
277087,8470394126,5,2.5
277107,006054094X,8,4
277107,081297106X,10,5
277107,1400032628,8,4
277107,1585861553,4,2
277134,1586609726,6,3
277139,055358068X,0,0
277143,031286504X,10,5
277157,039915177X,7,3.5
277157,055358295X,0,0
277171,080410946X,8,4
277187,006250794X,0,0
277187,038081093X,0,0
277187,080505622X,0,0
277187,1929590059,0,0
277189,074341232X,8,4
277195,006251170X,0,0
277195,015644450X,0,0
277195,031214816X,0,0
277195,031284879X,0,0
277195,037582233X,0,0
277195,042511774X,0,0
277195,051730984X,0,0
277195,055326611X,10,5
277195,080410946X,0,0
277195,088011861X,0,0
277195,1401300448,0,0
277195,1558743669,0,0
277195,1571740562,0,0
277195,1573221856,10,5
277195,1577311507,0,0
277195,158243011X,0,0
277203,039480029X,8,4
277203,039480967X,8,4
277203,1561452718,9,4.5
277203,1562826468,9,4.5
277212,044023722X,8,4
277231,014023313X,0,0
277235,014029628X,6,3
277274,1887128441,8,4
277292,1551668726,8,4
277317,1561840564,9,4.5
277338,3746614007,0,0
277375,3548603203,0,0
277380,1558509828,5,2.5
277402,051511605X,6,3
277411,044023722X,0,0
277427,002542730X,10,5
277427,014029628X,0,0
277427,014100018X,0,0
277427,015200405X,0,0
277427,038081904X,9,4.5
277427,039304016X,8,4
277427,039447970X,0,0
277427,042507448X,0,0
277427,042514755X,0,0
277427,042518627X,0,0
277427,044922502X,0,0
277427,067086045X,0,0
277427,067091021X,0,0
277427,067101417X,0,0
277427,067940676X,0,0
277427,076790446X,0,0
277427,080284314X,0,0
277427,080410753X,0,0
277427,080411918X,0,0
277427,080501604X,0,0
277427,087605534X,8,4
277427,089879661X,5,2.5
277427,091031103X,0,0
277427,1400034779,0,0
277427,1400060265,10,5
277427,1551664968,0,0
277427,1551668157,0,0
277427,1556524412,0,0
277427,1559586893,10,5
277427,1559703865,0,0
277427,1562923668,10,5
277427,1563052377,0,0
277427,1565075722,10,5
277427,1565120310,0,0
277427,1568380593,10,5
277427,1570620768,0,0
277427,1570620970,0,0
277427,157224058X,0,0
277427,1572304510,10,5
277427,1576737160,0,0
277427,1581690606,7,3.5
277427,1582343772,0,0
277427,8495273829,0,0
277439,051509272X,5,2.5
277439,1583940790,0,0
277466,042516098X,0,0
277466,051512219X,0,0
277478,006008216X,6,3
277478,006105481X,0,0
277478,006447108X,0,0
277478,014200281X,6,3
277478,031287216X,0,0
277478,034066049X,0,0
277478,034540405X,0,0
277478,1550224670,0,0
277478,1572970014,0,0
277478,1740595904,7,3.5
277478,1892065444,0,0
277478,3822855588,0,0
277478,382289642X,7,3.5
277478,907433699X,0,0
277523,039915180X,10,5
277523,055308576X,10,5
277523,1558744150,10,5
277532,1550544683,7,3.5
277535,034543739X,7,3.5
277588,8408039369,6,3
277623,002542730X,5,2.5
277623,1400031346,8,4
277623,1590521986,0,0
277627,3423000015,0,0
277636,1576733971,0,0
277639,006109174X,0,0
277639,030702024X,8,4
277639,034525421X,0,0
277639,034539657X,8,4
277639,042516098X,5,2.5
277639,044921852X,7,3.5
277639,067100185X,0,0
277639,1557739412,0,0
277647,067976397X,8,4
277660,2070360016,7,3.5
277662,052594544X,4,2
277662,067150374X,0,0
277662,087542127X,5,2.5
277680,2070541886,6,3
277680,2266121081,0,0
277681,2253044903,0,0
277681,2253141704,0,0
277681,2253152846,0,0
277681,2266000489,7,3.5
277711,1573227889,10,5
277711,1844261085,0,0
277711,1853752797,5,2.5
277714,089296751X,10,5
277720,1551663058,5,2.5
277727,345308201X,7,3.5
277744,1551660717,8,4
277748,881715010X,6,3
277811,055323370X,0,0
277879,1557734569,7,3.5
277882,3442164516,0,0
277882,346203233X,0,0
277882,3518365797,0,0
277888,067976402X,0,0
277898,1558744606,8,4
277901,044651490X,0,0
277901,089480751X,6,3
277904,006019491X,7,3.5
277929,051511331X,0,0
277929,1551665522,8,4
277945,051512317X,7,3.5
277945,051513628X,0,0
277954,1888363576,0,0
277954,3822800740,10,5
277959,1551668904,7,3.5
277962,014029628X,0,0
277965,038097584X,0,0
277965,044840124X,8,4
277965,1573221112,0,0
277982,042516408X,0,0
277984,1593080549,10,5
277989,1558745157,6,3
277997,067976402X,8,4
278002,044651652X,0,0
278002,044651747X,0,0
278007,034543479X,8,4
278007,1551669110,6,3
278012,006251279X,0,0
278026,038533558X,9,4.5
278026,068815333X,7,3.5
278026,1551664976,0,0
278026,1551667517,7,3.5
278026,1551669609,0,0
278026,1551669625,6,3
278054,1842322753,2,1
278075,044900371X,7,3.5
278137,043906628X,0,0
278137,1556616686,0,0
278137,1558744150,9,4.5
278137,1558745017,8,4
278137,1576739562,10,5
278137,1577311000,0,0
278137,1582293031,9,4.5
278144,039914465X,0,0
278144,039914739X,0,0
278144,044022103X,0,0
278144,067087907X,0,0
278144,068484477X,0,0
278144,076534128X,0,0
278144,140003180X,0,0
278144,1551666839,0,0
278144,1573220280,0,0
278144,1881334406,0,0
278153,1551664194,0,0
278156,006107635X,5,2.5
278160,044022425X,8,4
278188,006440630X,0,0
278188,014037423X,0,0
278188,037327291X,5,2.5
278188,038082082X,0,0
278188,042510107X,0,0
278188,042518904X,0,0
278188,044022103X,8,4
278188,051512219X,0,0
278188,059042503X,0,0
278188,067152500X,0,0
278188,080410946X,8,4
278188,1551660679,8,4
278188,1551661586,6,3
278188,1551664992,9,4.5
278188,1551665220,7,3.5
278188,1551665344,7,3.5
278188,1551666960,8,4
278188,1551667487,7,3.5
278188,1551668181,0,0
278188,1551668300,0,0
278188,1551669293,0,0
278188,1557485534,4,2
278194,051512219X,4,2
278194,1585421073,0,0
278202,014025448X,2,1
278202,068815090X,3,1.5
278216,006093090X,0,0
278221,074341702X,7,3.5
278221,078601525X,0,0
278221,084990630X,0,0
278221,1556612257,10,5
278221,155661246X,9,4.5
278221,1576738469,7,3.5
278221,1578561388,0,0
278221,1582341338,0,0
278221,1589196635,10,5
278221,1889613010,10,5
278224,051512298X,0,0
278235,8466302042,0,0
278238,039480029X,10,5
278248,080506723X,8,4
278249,3596237874,6,3
278255,1878424319,0,0
278257,039592720X,0,0
278274,067988288X,0,0
278279,1567184693,5,2.5
278314,006091291X,5,2.5
278342,031285627X,0,0
278346,051513287X,6,3
278346,1583226443,8,4
278355,193059609X,0,0
278356,006091646X,9,4.5
278356,043935806X,10,5
278356,087795979X,10,5
278368,1559722630,0,0
278390,044661257X,8,4
278390,080410753X,9,4.5
278411,1551669021,0,0
278411,1551669293,0,0
278418,003021436X,0,0
278418,006015957X,0,0
278418,006020883X,0,0
278418,006109398X,0,0
278418,006109921X,0,0
278418,006444144X,0,0
278418,014025448X,0,0
278418,014034294X,0,0
278418,014036336X,0,0
278418,014058661X,0,0
278418,015299646X,0,0
278418,030700113X,0,0
278418,030702055X,0,0
278418,030704601X,0,0
278418,030707000X,0,0
278418,030710124X,0,0
278418,030710253X,0,0
278418,030711466X,0,0
278418,030711807X,0,0
278418,030711869X,0,0
278418,030711886X,0,0
278418,030713184X,0,0
278418,030774826X,0,0
278418,030780125X,0,0
278418,031264776X,0,0
278418,031298250X,0,0
278418,034538184X,0,0
278418,037310636X,0,0
278418,037322575X,0,0
278418,037326237X,0,0
278418,037326240X,0,0
278418,037326254X,0,0
278418,037370951X,0,0
278418,038059949X,0,0
278418,038075892X,0,0
278418,038076587X,0,0
278418,038076654X,0,0
278418,038078906X,0,0
278418,038546973X,0,0
278418,038547024X,0,0
278418,039480967X,0,0
278418,039487062X,0,0
278418,039487336X,0,0
278418,039489748X,0,0
278418,039913932X,0,0
278418,042511743X,0,0
278418,042513525X,5,2.5
278418,042513699X,0,0
278418,042516313X,0,0
278418,042518630X,7,3.5
278418,043910274X,0,0
278418,043917306X,0,0
278418,043949169X,0,0
278418,044019539X,0,0
278418,044020271X,0,0
278418,044021145X,0,0
278418,044021422X,0,0
278418,044022473X,0,0
278418,044023722X,0,0
278418,044132231X,0,0
278418,044651652X,0,0
278418,044840124X,0,0
278418,044840463X,0,0
278418,048628039X,0,0
278418,051512012X,0,0
278418,051512334X,0,0
278418,051512608X,0,0
278418,051788710X,4,2
278418,051788738X,0,0
278418,053104470X,0,0
278418,055321277X,0,0
278418,055329122X,0,0
278418,055329296X,0,0
278418,055329301X,0,0
278418,055348480X,0,0
278418,055356451X,0,0
278418,055356773X,0,0
278418,055357230X,0,0
278418,059040024X,0,0
278418,059042730X,0,0
278418,059044798X,0,0
278418,059044848X,0,0
278418,059045403X,0,0
278418,059047071X,0,0
278418,059049418X,0,0
278418,059067448X,0,0
278418,067175937X,0,0
278418,067186839X,0,0
278418,067187098X,0,0
278418,067188719X,0,0
278418,067986153X,0,0
278418,067986699X,0,0
278418,067987450X,0,0
278418,067988744X,0,0
278418,068419368X,0,0
278418,068812299X,0,0
278418,068983361X,0,0
278418,074343627X,0,0
278418,076110481X,0,0
278418,078600584X,0,0
278418,081171814X,0,0
278418,081674890X,0,0
278418,081956382X,0,0
278418,082175369X,0,0
278418,082250975X,0,0
278418,084312914X,0,0
278418,088184781X,4,2
278418,1400012023,0,0
278418,1551660350,0,0
278418,1551660687,0,0
278418,1551664275,0,0
